player_id,name,sub_position,age,snapshot_date,horizon_months,outcome_due_date,model,current_value_eur,predicted_pct_change,predicted_value_eur,pct_q10,pct_q90
288323,Marcus Harness,Attacking Midfield,29.754962354551676,2025-11-26,6,2026-08-04,xgboost,750000,-0.051603876,711297.0929592848,-0.318915,0.13547345
292246,Hee-chan Hwang,Centre-Forward,30.351813826146476,2026-06-03,6,2027-02-11,xgboost,6000000,-0.2871552,4277068.734169006,-0.4540256,0.03493727
293194,Borna Sosa,Left-Back,28.36413415468857,2026-06-03,6,2027-02-11,xgboost,3000000,-0.1414532,2575640.380382538,-0.3378025,0.19976157
293213,Amir Hadziahmetovic,Defensive Midfield,29.22108145106092,2026-05-28,6,2027-02-06,xgboost,4000000,-0.12802015,3487919.3902015686,-0.31079686,0.10950524
293281,Jacob Bruun Larsen,Left Winger,27.704312114989733,2026-06-03,6,2027-02-11,xgboost,4000000,-0.14774552,3409017.9204940796,-0.3559831,0.24311519
294057,James Maddison,Attacking Midfield,29.52498288843258,2026-06-03,6,2027-02-11,xgboost,20000000,-0.28464058,14307188.391685486,-0.4288549,0.024373796
295313,Taiwo Awoniyi,Centre-Forward,28.80766598220397,2026-06-03,6,2027-02-11,xgboost,8000000,-0.19087182,6473025.441169739,-0.41142023,0.110307716
296582,Max O'Leary,Goalkeeper,29.6290212183436,2026-05-28,6,2027-02-06,xgboost,2000000,-0.068071626,1863856.7477464676,-0.2984555,0.25096342
296802,Walter Benítez,Goalkeeper,33.36892539356605,2026-06-03,6,2027-02-11,xgboost,4000000,-0.26229402,2950823.9030838013,-0.43394426,-0.022504026
296978,Liam Cullen,Attacking Midfield,27.096509240246405,2026-05-28,6,2027-02-06,xgboost,3200000,0.09718603,3510995.292663574,-0.17704286,0.4822991
297212,Joe Rodon,Centre-Back,28.61327857631759,2026-06-03,6,2027-02-11,xgboost,18000000,0.03567181,18642092.6079154,-0.16760376,0.33462843
297257,Mikey Johnston,Left Winger,27.107460643394933,2026-05-28,6,2027-02-06,xgboost,4000000,0.0025627392,4010250.956751406,-0.24143153,0.414032
298091,Harry Souttar,Centre-Back,27.11567419575633,2025-12-03,6,2026-08-12,xgboost,6000000,-0.07087294,5574762.359261513,-0.29820043,0.29823688
298477,Oli McBurnie,Centre-Forward,29.49760438056126,2025-12-03,6,2026-08-12,xgboost,2500000,-0.17536902,2061577.4393081665,-0.40924466,0.09405743
306024,Dominic Calvert-Lewin,Centre-Forward,29.215605749486652,2026-06-03,6,2027-02-11,xgboost,22000000,-0.11611072,19445564.165711403,-0.2849284,0.09570468
309400,Kai Havertz,Centre-Forward,26.978781656399725,2026-06-03,6,2027-02-11,xgboost,55000000,-0.038736854,52869473.0438292,-0.20970747,0.20958294
314241,Josh Laurent,Central Midfield,31.077344284736483,2026-06-03,6,2027-02-11,xgboost,1500000,-0.16229004,1256564.9449825287,-0.39762485,0.012171438
314288,Lukas Nmecha,Centre-Forward,27.468856947296374,2026-06-03,6,2027-02-11,xgboost,10000000,-0.039896544,9601034.559309483,-0.23580144,0.34880203
314367,Marcus Edwards,Right Winger,27.498973305954827,2026-06-03,6,2027-02-11,xgboost,6000000,-0.14298917,5142064.958810806,-0.3559803,0.20313995
314875,Jarrod Bowen,Right Winger,29.451060917180012,2026-06-03,6,2027-02-11,xgboost,30000000,-0.16485685,25054294.46697235,-0.36929154,-0.001347934
315145,Azor Matusiwa,Defensive Midfield,27.600273785078713,2025-12-03,6,2026-08-12,xgboost,11000000,-0.065565534,10278779.12670374,-0.2610693,0.283319
315858,Gianluigi Donnarumma,Goalkeeper,27.26899383983573,2026-06-03,6,2027-02-11,xgboost,45000000,-0.007518822,44661653.01622823,-0.18621115,0.19653994
316264,Martin Ødegaard,Attacking Midfield,27.460643394934976,2026-06-03,6,2027-02-11,xgboost,65000000,-0.0990845,58559507.727622986,-0.26204205,0.13337576
318508,Olivier Boscagli,Centre-Back,28.539356605065024,2026-06-03,6,2027-02-11,xgboost,15000000,-0.124137715,13137934.282422066,-0.28405872,0.16071297
319301,Daniel James,Right Winger,28.56125941136208,2026-06-03,6,2027-02-11,xgboost,10000000,-0.2465942,7534057.945013046,-0.39191383,0.14919998
319859,Mathias Jensen,Central Midfield,30.420260095824776,2026-06-03,6,2027-02-11,xgboost,10000000,-0.17596671,8240332.901477814,-0.3818435,0.028776826
321247,Emiliano Buendía,Left Winger,29.437371663244353,2026-06-03,6,2027-02-11,xgboost,16000000,-0.16532008,13354878.664016724,-0.36618412,0.04526674
324358,Ollie Watkins,Centre-Forward,30.425735797399042,2026-06-03,6,2027-02-11,xgboost,25000000,-0.17701367,20574658.36405754,-0.34583187,0.015387444
325443,Viktor Gyökeres,Centre-Forward,27.99726214921287,2026-06-03,6,2027-02-11,xgboost,65000000,-0.06862541,60539348.16271067,-0.22414887,0.1343481
326031,Matthijs de Ligt,Centre-Back,26.809034907597535,2026-06-03,6,2027-02-11,xgboost,30000000,-0.13968349,25809495.449066162,-0.34851733,0.13596377
328658,Kristoffer Ajer,Centre-Back,28.128678986995208,2026-06-03,6,2027-02-11,xgboost,18000000,-0.057387676,16967021.830379963,-0.22594257,0.2305959
330659,Justin Kluivert,Attacking Midfield,27.080082135523615,2026-06-03,6,2027-02-11,xgboost,25000000,-0.16386193,20903451.74074173,-0.336844,0.1593729
331726,Tammy Abraham,Centre-Forward,28.66803559206023,2026-06-03,6,2027-02-11,xgboost,18000000,-0.21881907,14061256.796121597,-0.3783073,0.083292454
332705,Tyler Adams,Defensive Midfield,27.299110198494184,2026-06-03,6,2027-02-11,xgboost,25000000,0.0032451795,25081129.488535225,-0.2016631,0.22401427
333014,Sander Berge,Defensive Midfield,28.298425735797398,2026-06-03,6,2027-02-11,xgboost,25000000,-0.027883481,24302912.9691422,-0.20183052,0.19167443
333241,Joelinton,Central Midfield,29.801505817932924,2026-06-03,6,2027-02-11,xgboost,25000000,-0.17346725,20663318.783044815,-0.35831106,0.012180116
335721,Ben White,Right-Back,28.65160848733744,2026-06-03,6,2027-02-11,xgboost,30000000,-0.13348027,25995592.027902603,-0.3008149,0.09484404
336077,Altay Bayındır,Goalkeeper,28.136892539356605,2026-06-03,6,2027-02-11,xgboost,5000000,-0.11659158,4417042.098939419,-0.35979745,0.23453619
338424,Mikel Merino,Central Midfield,29.946611909650922,2026-06-03,6,2027-02-11,xgboost,25000000,-0.19958733,20010316.744446754,-0.39123574,0.017814904
338629,Sebastiaan Bornauw,Centre-Back,27.200547570157426,2026-06-03,6,2027-02-11,xgboost,8000000,-0.062022027,7503823.786973953,-0.24873431,0.3533765
339340,Tyrell Malacia,Left-Back,26.795345653661876,2026-06-03,6,2027-02-11,xgboost,4000000,-0.08832263,3646709.4719409943,-0.4014324,0.31069812
339556,Rico Henry,Left-Back,28.903490759753595,2026-06-03,6,2027-02-11,xgboost,13000000,-0.21477306,10207950.234413147,-0.40660432,0.038269162
340310,Marc Bola,Left-Back,27.983572895277206,2025-12-03,6,2026-08-12,xgboost,1500000,0.024385618,1536578.4270688891,-0.26105404,0.28797957
340321,Josh Dasilva,Central Midfield,27.61122518822724,2026-06-03,6,2027-02-11,xgboost,1500000,-0.12810834,1307837.4937176704,-0.39491546,0.27452278
340324,Eddie Nketiah,Centre-Forward,27.01163586584531,2026-06-03,6,2027-02-11,xgboost,10000000,-0.1651904,8348096.013069153,-0.38676116,0.2563635
340325,Reiss Nelson,Left Winger,26.480492813141684,2026-06-03,6,2027-02-11,xgboost,8000000,-0.15695958,6744323.372840881,-0.39114422,0.27174297
340328,Stephy Mavididi,Left Winger,27.509924709103355,2025-12-03,6,2026-08-12,xgboost,8000000,-0.14837645,6812988.40045929,-0.35746506,0.20543331
340329,Joe Willock,Central Midfield,26.78713210130048,2026-06-03,6,2027-02-11,xgboost,14000000,-0.12970857,12184079.974889755,-0.35755223,0.17937793
340456,Noussair Mazraoui,Right-Back,28.550308008213552,2026-06-03,6,2027-02-11,xgboost,18000000,-0.20641224,14284579.664468765,-0.35218003,0.09033559
340918,Caoimhín Kelleher,Goalkeeper,27.526351813826146,2026-06-03,6,2027-02-11,xgboost,28000000,0.033390637,28934937.849640846,-0.13850424,0.28371584
